id,name,accuracy,power,type,pp,effect_chance,priority,damage_class,generation_introduced,description,short_description,category
26,jump-kick,95.0,100.0,fighting,10,,0,physical,generation-i,"Inflicts regular damage. If this move misses, is blocked by protect or detect, or has no effect, the user takes damage equal to half of its max HP rounded down.

This move cannot be used while gravity is in effect.","If the user misses, it takes half the damage it would have inflicted in recoil.",
27,rolling-kick,85.0,60.0,fighting,15,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,
28,sand-attack,100.0,,ground,15,,0,status,generation-i,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,
29,headbutt,100.0,70.0,normal,15,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,
30,horn-attack,100.0,65.0,normal,25,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
31,fury-attack,85.0,15.0,normal,20,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
32,horn-drill,30.0,,normal,5,,0,physical,generation-i,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",Causes a one-hit KO.,
33,tackle,100.0,40.0,normal,35,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
34,body-slam,100.0,85.0,normal,15,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
35,wrap,90.0,15.0,normal,20,100.0,0,physical,generation-i,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
36,take-down,85.0,90.0,normal,20,,0,physical,generation-i,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,User receives 1/4 the damage it inflicts in recoil.,
37,thrash,100.0,120.0,normal,10,,0,physical,generation-i,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.","Hits every turn for 2-3 turns, then confuses the user.",
38,double-edge,100.0,120.0,normal,15,,0,physical,generation-i,Inflicts regular damage.  User takes 1/3 the damage it inflicts in recoil.,User receives 1/3 the damage inflicted in recoil.,
39,tail-whip,100.0,,normal,30,,0,status,generation-i,Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage.,
40,poison-sting,100.0,15.0,poison,35,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to poison the target.,Has a 30% chance to poison the target.,
41,twineedle,100.0,25.0,bug,20,20.0,0,physical,generation-i,Inflicts regular damage.  Hits twice in the same turn.  Has a 20% chance to poison the target.,Hits twice in the same turn.  Has a 20% chance to poison the target.,
42,pin-missile,95.0,25.0,bug,20,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
43,leer,100.0,,normal,30,100.0,0,status,generation-i,Lowers the target’s Defense by one stage.,Lowers the target’s Defense by one stage.,
44,bite,100.0,60.0,dark,25,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to make the target flinch.,Has a 30% chance to make the target flinch.,biting
45,growl,100.0,,normal,40,,0,status,generation-i,Lowers the target’s Attack by one stage.,Lowers the target’s Attack by one stage.,sound-based
46,roar,,,normal,20,,-6,status,generation-i,"Switches the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with suction cups or under the effect of ingrain.",Immediately ends wild battles.  Forces trainers to switch Pokémon.,sound-based
47,sing,55.0,,normal,15,,0,status,generation-i,Puts the target to sleep.,Puts the target to sleep.,sound-based
48,supersonic,55.0,,normal,20,,0,status,generation-i,Confuses the target.,Confuses the target.,sound-based
49,sonic-boom,90.0,,normal,20,,0,special,generation-i,Inflicts exactly 20 damage.,Inflicts 20 points of damage.,
50,disable,100.0,,normal,20,,0,status,generation-i,"Disables the target’s last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the field.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed,  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail.",Disables the target’s last used move for 1-8 turns.,
51,acid,100.0,40.0,poison,30,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,
52,ember,100.0,40.0,fire,25,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,
53,flamethrower,100.0,90.0,fire,15,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,
54,mist,,,ice,30,,0,status,generation-i,"Pokémon on the user’s side of the field are immune to stat-lowering effects for five turns.

guard swap, heart swap, and power swap may still be used.

defog used by an opponent will end this effect.",Protects the user’s stats from being changed by enemy moves.,
55,water-gun,100.0,40.0,water,25,,0,special,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
56,hydro-pump,80.0,110.0,water,5,,0,special,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
57,surf,100.0,90.0,water,15,,0,special,generation-i,"Inflicts regular damage.

If the target is in the first turn of dive, this move will hit with double power.",Inflicts regular damage and can hit Dive users.,
58,ice-beam,100.0,90.0,ice,10,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to freeze the target.,Has a 10% chance to freeze the target.,
59,blizzard,70.0,110.0,ice,5,10.0,0,special,generation-i,"Inflicts regular damage.  Has a 10% chance to freeze the target.

During hail, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.",Has a 10% chance to freeze the target.,wind
60,psybeam,100.0,65.0,psychic,20,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to confuse the target.,Has a 10% chance to confuse the target.,
61,bubble-beam,100.0,65.0,water,20,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Speed by one stage.,Has a 10% chance to lower the target’s Speed by one stage.,
62,aurora-beam,100.0,65.0,ice,20,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Attack by one stage.,Has a 10% chance to lower the target’s Attack by one stage.,
63,hyper-beam,90.0,150.0,normal,5,,0,special,generation-i,"Inflicts regular damage.  User loses its next turn to ""recharge"", and cannot attack or switch out during that turn.",User foregoes its next turn to recharge.,
64,peck,100.0,35.0,flying,35,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
65,drill-peck,100.0,80.0,flying,20,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
66,submission,80.0,80.0,fighting,20,,0,physical,generation-i,Inflicts regular damage.  User takes 1/4 the damage it inflicts in recoil.,User receives 1/4 the damage it inflicts in recoil.,
67,low-kick,100.0,,fighting,20,,0,physical,generation-i,"Inflicts regular damage.  Power increases with the target’s weight in kilograms, to a maximum of 120.

Target’s weight | Power
--------------- | ----:
Up to 10kg      |    20
Up to 25kg      |    40
Up to 50kg      |    60
Up to 100kg     |    80
Up to 200kg     |   100
Above 200kg     |   120
","Inflicts more damage to heavier targets, with a maximum of 120 power.",
68,counter,100.0,,fighting,20,,-5,physical,generation-i,"Targets the last opposing Pokémon to hit the user with a physical move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will fail.  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror move, nor selected by assist or metronome.",Inflicts twice the damage the user received from the last physical hit it took.,
69,seismic-toss,100.0,,fighting,20,,0,physical,generation-i,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",Inflicts damage equal to the user’s level.,
70,strength,100.0,80.0,normal,15,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
71,absorb,100.0,20.0,grass,25,,0,special,generation-i,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.,
72,mega-drain,100.0,40.0,grass,15,,0,special,generation-i,Inflicts regular damage.  Drains half the damage inflicted to heal the user.,Drains half the damage inflicted to heal the user.,
73,leech-seed,90.0,,grass,10,,0,status,generation-i,"Plants a seed on the target that drains 1/8 of its max HP at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid ooze.

rapid spin will remove this effect.

This effect is passed on by baton pass.","Seeds the target, stealing HP from it every turn.",
74,growth,,,normal,20,,0,status,generation-i,"Raises the user’s Attack and Special Attack by one stage each.  During sunny day, raises both stats by two stages.",Raises the user’s Attack and Special Attack by one stage.,
75,razor-leaf,95.0,55.0,grass,25,,0,physical,generation-i,Inflicts regular damage.  User’s critical hit rate is one level higher when using this move.,Has an increased chance for a critical hit.,slicing
76,solar-beam,100.0,120.0,grass,10,,0,special,generation-i,"Inflicts regular damage.  User charges for one turn before attacking.

During sunny day, the charge turn is skipped.

During hail, rain dance, or sandstorm, power is halved.

This move cannot be selected by sleep talk.",Requires a turn to charge before attacking.,
77,poison-powder,75.0,,poison,35,,0,status,generation-i,Poisons the target.,Poisons the target.,powder and spore
78,stun-spore,75.0,,grass,30,,0,status,generation-i,Paralyzes the target.,Paralyzes the target.,powder and spore
79,sleep-powder,75.0,,grass,15,,0,status,generation-i,Puts the target to sleep.,Puts the target to sleep.,powder and spore
80,petal-dance,100.0,120.0,grass,10,,0,special,generation-i,"Inflicts regular damage.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes confused.

safeguard does not protect against the confusion from this move.","Hits every turn for 2-3 turns, then confuses the user.",dance
81,string-shot,95.0,,bug,40,,0,status,generation-i,Lowers the target’s Speed by two stages.,Lowers the target’s Speed by two stages.,
82,dragon-rage,100.0,,dragon,10,,0,special,generation-i,Inflicts exactly 40 damage.,Inflicts 40 points of damage.,
83,fire-spin,85.0,35.0,fire,15,100.0,0,special,generation-i,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
84,thunder-shock,100.0,40.0,electric,30,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to paralyze the target.,Has a 10% chance to paralyze the target.,
85,thunderbolt,100.0,90.0,electric,15,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to paralyze the target.,Has a 10% chance to paralyze the target.,
86,thunder-wave,90.0,,electric,20,,0,status,generation-i,Paralyzes the target.,Paralyzes the target.,
87,thunder,70.0,110.0,electric,10,30.0,0,special,generation-i,"Inflicts regular damage.  Has a 30% chance to paralyze the target.

During rain dance, this move has 100% accuracy.  It also has a (100 - accuracy)% chance to break through the protection of protect and detect.

During sunny day, this move has 50% accuracy.",Has a 30% chance to paralyze the target.,
88,rock-throw,90.0,50.0,rock,15,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
89,earthquake,100.0,100.0,ground,10,,0,physical,generation-i,"Inflicts regular damage.

If the target is in the first turn of dig, this move will hit with double power.",Inflicts regular damage and can hit Dig users.,
90,fissure,30.0,,ground,5,,0,physical,generation-i,"Inflicts damage equal to the target’s max HP.  Ignores accuracy and evasion modifiers.  This move’s accuracy is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will fail.

Because this move inflicts a specific and finite amount of damage, endure still prevents the target from fainting.

The effects of lock on, mind reader, and no guard still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through detect or protect.",Causes a one-hit KO.,
91,dig,100.0,80.0,ground,10,,0,physical,generation-i,"Inflicts regular damage.  User digs underground for one turn, becoming immune to attack, and hits on the second turn.

During the immune turn, earthquake, fissure, and magnitude still hit the user normally, and their power is doubled if appropriate.

The user may be hit during its immune turn if under the effect of lock on, mind reader, or no guard.

This move cannot be selected by sleep talk.","User digs underground, dodging all attacks, and hits next turn.",
92,toxic,90.0,,poison,10,,0,status,generation-i,Badly poisons the target.  Never misses when used by a poison-type Pokémon.,"Badly poisons the target, inflicting more damage every turn.",
93,confusion,100.0,50.0,psychic,25,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to confuse the target.,Has a 10% chance to confuse the target.,
94,psychic,100.0,90.0,psychic,10,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Special Defense by one stage.,Has a 10% chance to lower the target’s Special Defense by one stage.,
95,hypnosis,60.0,,psychic,20,,0,status,generation-i,Puts the target to sleep.,Puts the target to sleep.,
96,meditate,,,psychic,40,,0,status,generation-i,Raises the user’s Attack by one stage.,Raises the user’s Attack by one stage.,
97,agility,,,psychic,30,,0,status,generation-i,Raises the user’s Speed by two stages.,Raises the user’s Speed by two stages.,
98,quick-attack,100.0,40.0,normal,30,,1,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,
99,rage,100.0,20.0,normal,20,,0,physical,generation-i,"Inflicts regular damage.  Every time the user is hit after it uses this move but before its next action, its Attack raises by one stage.","If the user is hit after using this move, its Attack rises by one stage.",
100,teleport,,,psychic,20,,-6,status,generation-i,Does nothing.  Wild battles end immediately.,Immediately ends wild battles.  No effect otherwise.,
101,night-shade,100.0,,ghost,15,,0,special,generation-i,"Inflicts damage equal to the user’s level.  Type immunity applies, but other type effects are ignored.",Inflicts damage equal to the user’s level.,
102,mimic,,,normal,10,,0,status,generation-i,"This move is replaced by the target’s last successfully used move, and its PP changes to 5.  If the target hasn’t used a move since entering the field, if it tried to use a move this turn and failed, or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will fail.

This move cannot be copied by mirror move, nor selected by assist or metronome, nor forced by encore.",Copies the target’s last used move.,
103,screech,85.0,,normal,40,,0,status,generation-i,Lowers the target’s Defense by two stages.,Lowers the target’s Defense by two stages.,sound-based
104,double-team,,,normal,15,,0,status,generation-i,Raises the user’s evasion by one stage.,Raises the user’s evasion by one stage.,
105,recover,,,normal,5,,0,status,generation-i,Heals the user for half its max HP.,Heals the user by half its max HP.,
106,harden,,,normal,30,,0,status,generation-i,Raises the user’s Defense by one stage.,Raises the user’s Defense by one stage.,
107,minimize,,,normal,10,,0,status,generation-i,"Raises the user’s evasion by two stages.

stomp and steamroller have double power against Pokémon that have used this move since entering the field.",Raises the user’s evasion by two stages.,
108,smokescreen,100.0,,normal,20,,0,status,generation-i,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,
109,confuse-ray,100.0,,ghost,10,,0,status,generation-i,Confuses the target.,Confuses the target.,
110,withdraw,,,water,40,,0,status,generation-i,Raises the user’s Defense by one stage.,Raises the user’s Defense by one stage.,
111,defense-curl,,,normal,40,,0,status,generation-i,"Raises user’s Defense by one stage.

After this move is used, the power of ice ball and rollout are doubled until the user leaves the field.",Raises user’s Defense by one stage.,
112,barrier,,,psychic,20,,0,status,generation-i,Raises the user’s Defense by two stages.,Raises the user’s Defense by two stages.,
113,light-screen,,,psychic,30,,0,status,generation-i,"Erects a barrier around the user’s side of the field that reduces damage from special attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",Reduces damage from special attacks by 50% for five turns.,
114,haze,,,ice,30,,0,status,generation-i,"Removes stat, accuracy, and evasion modifiers from every Pokémon on the field.

This does not count as a stat reduction for the purposes of clear body or white smoke.","Resets all Pokémon’s stats, accuracy, and evasion.",
115,reflect,,,psychic,20,,0,status,generation-i,"Erects a barrier around the user’s side of the field that reduces damage from physical attacks by half for five turns.  In double battles, the reduction is 1/3.  Critical hits are not affected by the barrier.

If the user is holding light clay, the barrier lasts for eight turns.

brick break or defog used by an opponent will destroy the barrier.",Reduces damage from physical attacks by half.,
116,focus-energy,,,normal,30,,0,status,generation-i,"User’s critical hit rate is two levels higher until it leaves the field.  If the user has already used focus energy since entering the field, this move will fail.

This effect is passed on by baton pass.",Increases the user’s chance to score a critical hit.,
117,bide,,,normal,10,,1,physical,generation-i,"User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is typeless.

This move cannot be selected by sleep talk.","User waits for two turns, then hits back for twice the damage it took.",
118,metronome,,,normal,10,,0,status,generation-i,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny bond, detect, endure, feint, focus punch, follow me, helping hand, me first, metronome, mimic, mirror coat, mirror move, protect, quick guard, sketch, sleep talk, snatch, struggle, switcheroo, thief, trick, and wide guard will not be selected by this move.

This move cannot be copied by mimic or mirror move, nor selected by assist, metronome, or sleep talk.",Randomly selects and uses any move in the game.,
119,mirror-move,,,flying,20,,0,status,generation-i,"Uses the last move targeted at the user by a Pokémon still on the field.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the field itself do not count.  If the user has not been targeted by an appropriate move since entering the field, or if no Pokémon that targeted the user remains on the field, this move will fail.

Moves that failed, missed, had no effect, or were blocked are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: acid armor, acupressure, after you, agility, ally switch, amnesia, aqua ring, aromatherapy, aromatic mist, assist, autotomize, barrier, baton pass, belch, belly drum, bide, bulk up, calm mind, camouflage, celebrate, charge, coil, conversion, conversion 2, copycat, cosmic power, cotton guard, counter, crafty shield, curse, defend order, defense curl, destiny bond, detect, doom desire, double team, dragon dance, electric terrain, endure, final gambit, flower shield, focus energy, focus punch, follow me, future sight, geomancy, grassy terrain, gravity, growth, grudge, guard split, hail, happy hour, harden, haze, heal bell, heal order, heal pulse, healing wish, helping hand, hold hands, hone claws, howl, imprison, ingrain, ion deluge, iron defense, kings shield, light screen, lucky chant, lunar dance, magic coat, magnet rise, magnetic flux, mat block, me first, meditate, metronome, milk drink, mimic, minimize, mirror coat, mirror move, mist, misty terrain, moonlight, morning sun, mud sport, nasty plot, nature power, perish song, power split, power trick, protect, psych up, quick guard, quiver dance, rage powder, rain dance, recover, recycle, reflect, reflect type, refresh, rest, rock polish, role play, roost, rototiller, safeguard, sandstorm, shadow blast, shadow bolt, shadow half, shadow rush, shadow shed, shadow sky, shadow storm, shadow wave, sharpen, shell smash, shift gear, sketch, slack off, sleep talk, snatch, soft boiled, spikes, spiky shield, spit up, splash, stealth rock, sticky web, stockpile, struggle, substitute, sunny day, swallow, swords dance, synthesis, tail glow, tailwind, teleport, toxic spikes, transform, water sport, wide guard, wish, withdraw and work up.

This move cannot be selected by assist, metronome, or sleep talk, nor forced by encore.",Uses the target’s last used move.,
120,self-destruct,100.0,200.0,normal,5,,0,physical,generation-i,"User faints, even if the attack fails or misses.  Inflicts regular damage.",User faints.,explosive
121,egg-bomb,75.0,100.0,normal,10,,0,physical,generation-i,Inflicts regular damage.,Inflicts regular damage with no additional effect.,ball and bomb
122,lick,100.0,30.0,ghost,30,30.0,0,physical,generation-i,Inflicts regular damage.  Has a 30% chance to paralyze the target.,Has a 30% chance to paralyze the target.,
123,smog,70.0,30.0,poison,20,40.0,0,special,generation-i,Inflicts regular damage.  Has a 40% chance to poison the target.,Has a 40% chance to poison the target.,
124,sludge,100.0,65.0,poison,20,30.0,0,special,generation-i,Inflicts regular damage.  Has a 30% chance to poison the target.,Has a 30% chance to poison the target.,
125,bone-club,85.0,65.0,ground,20,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to make the target flinch.,Has a 10% chance to make the target flinch.,
126,fire-blast,85.0,110.0,fire,5,10.0,0,special,generation-i,Inflicts regular damage.  Has a 10% chance to burn the target.,Has a 10% chance to burn the target.,
127,waterfall,100.0,80.0,water,15,20.0,0,physical,generation-i,Inflicts regular damage.  Has a 20% chance to make the target flinch.,Has a 20% chance to make the target flinch.,
128,clamp,85.0,35.0,water,15,100.0,0,physical,generation-i,"Inflicts regular damage.  For the next 2–5 turns, the target cannot leave the field and is damaged for 1/16 its max HP at the end of each turn.  The user continues to use other moves during this time.  If the user leaves the field, this effect ends.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.

rapid spin cancels this effect.",Prevents the target from fleeing and inflicts damage for 2-5 turns.,
129,swift,,60.0,normal,20,,0,special,generation-i,Inflicts regular damage.  Ignores accuracy and evasion modifiers.,Never misses.,
130,skull-bash,100.0,130.0,normal,10,100.0,0,physical,generation-i,"Inflicts regular damage.  Raises the user’s Defense by one stage.  User then charges for one turn before attacking.

This move cannot be selected by sleep talk.",Raises the user’s Defense by one stage.  User charges for one turn before attacking.,
131,spike-cannon,100.0,20.0,normal,15,,0,physical,generation-i,"Inflicts regular damage.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use.",Hits 2-5 times in one turn.,
132,constrict,100.0,10.0,normal,35,10.0,0,physical,generation-i,Inflicts regular damage.  Has a 10% chance to lower the target’s Speed by one stage.,Has a 10% chance to lower the target’s Speed by one stage.,
133,amnesia,,,psychic,20,,0,status,generation-i,Raises the user’s Special Defense by two stages.,Raises the user’s Special Defense by two stages.,
134,kinesis,80.0,,psychic,15,,0,status,generation-i,Lowers the target’s accuracy by one stage.,Lowers the target’s accuracy by one stage.,
135,soft-boiled,,,normal,5,,0,status,generation-i,Heals the user for half its max HP.,Heals the user by half its max HP.,
